time,edge,old node,current node,probability (value_exp),value_coeff,expect,true,expect-true,no.of neighbours
45.0,-gneE1,gneJ3,gneJ2,0.5670929049654544,0.77,8.0,8.0,0.0,2
66.0,gneE1,gneJ2,gneJ3,1.0,0.8389,8.0,8.0,0.0,1
87.0,-gneE1,gneJ3,gneJ2,0.5856892347870226,0.846173,9.0,10.0,-1.0,2
110.0,gneE1,gneJ2,gneJ3,1.0,0.9178786099999999,10.0,12.0,-2.0,1
133.0,-gneE1,gneJ3,gneJ2,0.6310351089127926,1.0366600076999999,11.333333333333334,16.0,-4.666666666666666,2
156.0,gneE1,gneJ2,gneJ3,1.0,1.1475213325995262,13.0,19.0,-6.0,1
179.0,-gneE1,gneJ3,gneJ2,0.684794507257219,1.275894019804587,13.75,21.0,-7.25,2
202.0,gneE1,gneJ2,gneJ3,1.0,1.392518124328425,15.75,24.0,-8.25,1
225.0,-gneE1,gneJ3,gneJ2,0.7577924767336535,1.6406146779194717,20.2,46.0,-25.8,2
247.0,gneE1,gneJ2,gneJ3,1.0,1.7201576161454688,18.6,30.0,-11.399999999999999,1
270.0,-gneE1,gneJ3,gneJ2,0.8041270852195355,1.9122912679262616,24.333333333333332,45.0,-20.666666666666668,2
293.0,gneE1,gneJ2,gneJ3,1.0,2.0758951561326784,23.166666666666668,46.0,-22.833333333333332,1
315.0,-gneE1,gneJ3,gneJ2,0.8434819577001287,2.1843672223566073,27.285714285714285,45.0,-17.714285714285715,2
338.0,gneE1,gneJ2,gneJ3,1.0,2.3249711887201467,26.285714285714285,45.0,-18.714285714285715,1
360.0,-gneE1,gneJ3,gneJ2,0.8705293356647723,2.405647133179793,29.5,45.0,-15.5,2
381.0,gneE1,gneJ2,gneJ3,1.0,2.505277108842401,28.375,43.0,-14.625,1
402.0,-gneE1,gneJ3,gneJ2,0.8858462282762659,2.5489969640422445,30.88888888888889,42.0,-11.11111111111111,2
425.0,gneE1,gneJ2,gneJ3,1.0,2.644433052434979,30.11111111111111,44.0,-13.88888888888889,1
447.0,-gneE1,gneJ3,gneJ2,0.8999130607618763,2.696258958838169,32.3,45.0,-12.700000000000003,2
469.0,gneE1,gneJ2,gneJ3,1.0,2.7650953729662935,31.5,44.0,-12.5,1
492.0,-gneE1,gneJ3,gneJ2,0.9095824563930656,2.808547340065449,33.45454545454545,45.0,-11.545454545454547,2
515.0,gneE1,gneJ2,gneJ3,1.0,2.878846891917104,32.81818181818182,46.0,-13.18181818181818,1
538.0,-gneE1,gneJ3,gneJ2,0.9179159166995656,2.9143616644189287,34.5,46.0,-11.5,2
561.0,gneE1,gneJ2,gneJ3,1.0,2.970333601137805,33.916666666666664,46.0,-12.083333333333336,1
584.0,-gneE1,gneJ3,gneJ2,0.9239520670682576,2.997296356877659,35.38461538461539,46.0,-10.615384615384613,2
609.0,gneE1,gneJ2,gneJ3,1.0,3.0590923638753873,35.0,48.0,-13.0,1
631.0,-gneE1,gneJ3,gneJ2,0.9295823305244473,3.0802911597648976,36.214285714285715,47.0,-10.785714285714285,2
655.0,gneE1,gneJ2,gneJ3,1.0,3.1126327202807427,35.785714285714285,46.0,-10.214285714285715,1
678.0,-gneE1,gneJ3,gneJ2,0.9330696768215914,3.134827752763855,36.93333333333333,47.0,-10.06666666666667,2
701.0,gneE1,gneJ2,gneJ3,1.0,3.1562527332746506,36.46666666666667,46.0,-9.533333333333331,1
724.0,-gneE1,gneJ3,gneJ2,0.934860410362729,3.163864724289484,37.5,46.0,-8.5,2
748.0,gneE1,gneJ2,gneJ3,1.0,2.788165470253806,35.375,19.0,16.375,1
768.0,-gneE1,gneJ3,gneJ2,0.8877424447711069,2.5678858297313836,36.411764705882355,19.0,17.411764705882355,2
791.0,gneE1,gneJ2,gneJ3,1.0,2.3605937641096357,34.588235294117645,22.0,12.588235294117645,1
813.0,-gneE1,gneJ3,gneJ2,0.8379921041425669,2.143363604268119,35.611111111111114,22.0,13.611111111111114,2
836.0,gneE1,gneJ2,gneJ3,1.0,1.9894841718413878,34.0,24.0,10.0,1
859.0,-gneE1,gneJ3,gneJ2,0.834757435736516,2.1197267056980285,36.1578947368421,46.0,-9.842105263157897,2
882.0,gneE1,gneJ2,gneJ3,1.0,1.9367481713582633,33.78947368421053,30.0,3.7894736842105274,1
904.0,-gneE1,gneJ3,gneJ2,0.8269032682671205,2.063837139953421,36.6,45.0,-8.399999999999999,2
926.0,gneE1,gneJ2,gneJ3,1.0,1.9208193760022152,33.7,32.0,1.7000000000000028,1
948.0,-gneE1,gneJ3,gneJ2,0.7989381288709873,1.8796708298065476,36.476190476190474,34.0,2.4761904761904745,2
971.0,gneE1,gneJ2,gneJ3,1.0,1.8762480598985547,33.80952380952381,36.0,-2.19047619047619,1
991.0,-gneE1,gneJ3,gneJ2,0.803485339675569,1.908221903654647,36.77272727272727,43.0,-6.227272727272727,2
1014.0,gneE1,gneJ2,gneJ3,1.0,1.960595857034114,34.22727272727273,43.0,-8.772727272727273,1
1036.0,-gneE1,gneJ3,gneJ2,0.8154404071270609,1.985755936203188,37.130434782608695,45.0,-7.869565217391305,2
1060.0,gneE1,gneJ2,gneJ3,1.0,2.0630001338218635,34.73913043478261,46.0,-11.26086956521739,1
1083.0,-gneE1,gneJ3,gneJ2,0.8307507221668534,2.0909571316108013,37.541666666666664,47.0,-9.458333333333336,2
1105.0,gneE1,gneJ2,gneJ3,1.0,2.1481567296580133,35.166666666666664,45.0,-9.833333333333336,1
1127.0,-gneE1,gneJ3,gneJ2,0.8382653466510109,2.1453776430948426,37.8,44.0,-6.200000000000003,2
1149.0,gneE1,gneJ2,gneJ3,1.0,2.1977643120636294,35.52,44.0,-8.479999999999997,1
1171.0,-gneE1,gneJ3,gneJ2,0.8445093782028728,2.192170421407912,38.03846153846154,44.0,-5.96153846153846,2
1195.0,gneE1,gneJ2,gneJ3,1.0,2.2600809921182625,35.92307692307692,46.0,-10.07692307692308,1
1216.0,-gneE1,gneJ3,gneJ2,0.8525191141309371,2.254497050119957,38.2962962962963,45.0,-6.703703703703702,2
1239.0,gneE1,gneJ2,gneJ3,1.0,2.2951563214762865,36.22222222222222,44.0,-7.777777777777779,1
1261.0,-gneE1,gneJ3,gneJ2,0.8576892001938767,2.296228399479942,38.535714285714285,45.0,-6.464285714285715,2
1283.0,gneE1,gneJ2,gneJ3,1.0,2.329185443566809,36.5,44.0,-7.5,1
1305.0,-gneE1,gneJ3,gneJ2,0.860334457605098,2.318070636292769,38.724137931034484,44.0,-5.275862068965516,2
1327.0,gneE1,gneJ2,gneJ3,1.0,2.3517205216183044,36.758620689655174,44.0,-7.241379310344826,1
1350.0,-gneE1,gneJ3,gneJ2,0.8639623893637851,2.34859784072843,38.93333333333333,45.0,-6.06666666666667,2
1371.0,gneE1,gneJ2,gneJ3,1.0,2.374843523317072,37.0,44.0,-7.0,1
1393.0,-gneE1,gneJ3,gneJ2,0.8638937167278059,2.3480136730142114,39.064516129032256,43.0,-3.9354838709677438,2
1417.0,gneE1,gneJ2,gneJ3,1.0,2.4019096910234707,37.29032258064516,46.0,-8.70967741935484,1
1440.0,-gneE1,gneJ3,gneJ2,0.870617803495023,2.406432290961403,39.3125,47.0,-7.6875,2
1463.0,gneE1,gneJ2,gneJ3,1.0,2.4424846300834746,37.5625,46.0,-8.4375,1
1486.0,-gneE1,gneJ3,gneJ2,0.8742833696334135,2.4393741357692957,39.515151515151516,46.0,-6.484848484848484,2
1506.0,gneE1,gneJ2,gneJ3,1.0,2.441010048111106,37.72727272727273,43.0,-5.272727272727273,1
1527.0,-gneE1,gneJ3,gneJ2,0.8685519598147976,2.3882157691055106,39.55882352941177,41.0,-1.441176470588232,2
1547.0,gneE1,gneJ2,gneJ3,1.0,2.060216651903358,37.205882352941174,20.0,17.205882352941174,1
1567.0,-gneE1,gneJ3,gneJ2,0.8369951567743042,2.13603837065569,39.57142857142857,40.0,-0.4285714285714306,2
1590.0,gneE1,gneJ2,gneJ3,1.0,1.8166285320350863,36.8,23.0,13.799999999999997,1
1611.0,-gneE1,gneJ3,gneJ2,0.8097837621479504,1.9486057327343964,39.69444444444444,44.0,-4.305555555555557,2
1635.0,gneE1,gneJ2,gneJ3,1.0,1.9436529767689366,37.02777777777778,45.0,-7.972222222222221,1
1656.0,-gneE1,gneJ3,gneJ2,0.8109436297427315,1.9561533186808813,39.83783783783784,45.0,-5.162162162162161,2
1679.0,gneE1,gneJ2,gneJ3,1.0,1.9849747248618195,37.21621621621622,44.0,-6.783783783783782,1
1701.0,-gneE1,gneJ3,gneJ2,0.8147106654352592,1.9809144645032386,39.973684210526315,45.0,-5.026315789473685,2
1724.0,gneE1,gneJ2,gneJ3,1.0,2.024163766290521,37.421052631578945,45.0,-7.578947368421055,1
1745.0,-gneE1,gneJ3,gneJ2,0.8175201263198514,1.9996356360833958,40.07692307692308,44.0,-3.92307692307692,2
1767.0,gneE1,gneJ2,gneJ3,1.0,2.025307550747429,37.56410256410256,43.0,-5.435897435897438,1
1788.0,-gneE1,gneJ3,gneJ2,0.8166849283155023,1.994047000219858,40.15,43.0,-2.8500000000000014,2
1811.0,gneE1,gneJ2,gneJ3,1.0,2.0322979922424724,37.725,44.0,-6.274999999999999,1
1834.0,-gneE1,gneJ3,gneJ2,0.8220753515180592,2.0304719218379446,40.292682926829265,46.0,-5.707317073170735,2
1857.0,gneE1,gneJ2,gneJ3,1.0,2.07559041927993,37.926829268292686,46.0,-8.073170731707314,1
1878.0,-gneE1,gneJ3,gneJ2,0.8241361973009532,2.0446259570753873,40.38095238095238,44.0,-3.6190476190476204,2
1900.0,gneE1,gneJ2,gneJ3,1.0,2.0647759532781653,38.04761904761905,43.0,-4.952380952380949,1
1922.0,-gneE1,gneJ3,gneJ2,0.823896878858699,2.042975636029576,40.46511627906977,44.0,-3.5348837209302317,2
1945.0,gneE1,gneJ2,gneJ3,1.0,1.693560482716399,37.604651162790695,19.0,18.604651162790695,1
1967.0,-gneE1,gneJ3,gneJ2,0.7305354376594733,1.4973408539213362,40.02272727272727,21.0,19.022727272727273,2
1988.0,gneE1,gneJ2,gneJ3,1.0,1.2693700182832597,37.22727272727273,21.0,16.227272727272727,1
2010.0,-gneE1,gneJ3,gneJ2,0.6354393303105188,1.0556236344913945,39.62222222222222,22.0,17.62222222222222,2
2033.0,gneE1,gneJ2,gneJ3,1.0,0.9153464434953471,36.955555555555556,25.0,11.955555555555556,1
2056.0,-gneE1,gneJ3,gneJ2,0.5672702672339904,0.7707224925745488,39.369565217391305,28.0,11.369565217391305,2
2078.0,gneE1,gneJ2,gneJ3,1.0,0.6785000435557026,36.78260869565217,29.0,7.782608695652172,1
2101.0,-gneE1,gneJ3,gneJ2,0.5667268789901271,0.7685091991615345,39.48936170212766,45.0,-5.51063829787234,2
2125.0,gneE1,gneJ2,gneJ3,1.0,0.6969502609443556,36.765957446808514,36.0,0.765957446808514,1
2147.0,-gneE1,gneJ3,gneJ2,0.5714617376050307,0.7878175023159399,39.625,46.0,-6.375,2
2169.0,gneE1,gneJ2,gneJ3,1.0,0.7753360806978279,36.833333333333336,40.0,-3.1666666666666643,1
2191.0,-gneE1,gneJ3,gneJ2,0.5782296472831747,0.8155101253656963,39.714285714285715,44.0,-4.285714285714285,2
2213.0,gneE1,gneJ2,gneJ3,1.0,0.8707080423275595,36.97959183673469,44.0,-7.020408163265309,1
2235.0,-gneE1,gneJ3,gneJ2,0.5938201277176153,0.8797803615457148,39.8,44.0,-4.200000000000003,2
2256.0,gneE1,gneJ2,gneJ3,1.0,0.93208360440743,37.1,43.0,-5.899999999999999,1
2278.0,-gneE1,gneJ3,gneJ2,0.6051512027653946,0.9269754489253227,39.86274509803921,43.0,-3.1372549019607874,2
2302.0,gneE1,gneJ2,gneJ3,1.0,1.0150201893383854,37.27450980392157,46.0,-8.725490196078432,1
2325.0,-gneE1,gneJ3,gneJ2,0.6315130686449497,1.0387133896206684,40.0,47.0,-7.0,2
2348.0,gneE1,gneJ2,gneJ3,1.0,1.1096967813977303,37.44230769230769,46.0,-8.557692307692307,1
2371.0,-gneE1,gneJ3,gneJ2,0.6513087115423621,1.1247967706297153,40.113207547169814,46.0,-5.886792452830186,2
2393.0,gneE1,gneJ2,gneJ3,1.0,1.1838807963463318,37.58490566037736,45.0,-7.415094339622641,1
2416.0,-gneE1,gneJ3,gneJ2,0.6656735288786377,1.1886813794532458,40.2037037037037,45.0,-4.796296296296298,2
2439.0,gneE1,gneJ2,gneJ3,1.0,1.2588301734259166,37.74074074074074,46.0,-8.25925925925926,1
2460.0,-gneE1,gneJ3,gneJ2,0.677833283154217,1.2438321969150625,40.27272727272727,44.0,-3.7272727272727266,2
2483.0,gneE1,gneJ2,gneJ3,1.0,1.2963180745045142,37.85454545454545,44.0,-6.145454545454548,1
2506.0,-gneE1,gneJ3,gneJ2,0.6920676822834662,1.3098037464509893,40.375,46.0,-5.625,2
2528.0,gneE1,gneJ2,gneJ3,1.0,1.3586867938502982,37.982142857142854,45.0,-7.017857142857146,1
2551.0,-gneE1,gneJ3,gneJ2,0.7024428558918236,1.3589577663967032,40.45614035087719,45.0,-4.543859649122808,2
2573.0,gneE1,gneJ2,gneJ3,1.0,1.4100104689476436,38.10526315789474,45.0,-6.89473684210526,1
2595.0,-gneE1,gneJ3,gneJ2,0.7098758656721564,1.3947812368682424,40.51724137931034,44.0,-3.4827586206896584,2
2618.0,gneE1,gneJ2,gneJ3,1.0,1.4493743201801623,38.224137931034484,45.0,-6.775862068965516,1
2641.0,-gneE1,gneJ3,gneJ2,0.7219907607704454,1.454357994317049,40.610169491525426,46.0,-5.389830508474574,2
2663.0,gneE1,gneJ2,gneJ3,1.0,1.4975473441548168,38.33898305084746,45.0,-6.66101694915254,1
2686.0,-gneE1,gneJ3,gneJ2,0.7296604918159203,1.4929007394506206,40.68333333333333,45.0,-4.31666666666667,2
2709.0,gneE1,gneJ2,gneJ3,1.0,1.548233228713998,38.46666666666667,46.0,-7.533333333333331,1
2732.0,-gneE1,gneJ3,gneJ2,0.7403645585242221,1.5478642126262008,40.77049180327869,46.0,-5.229508196721312,2
2755.0,gneE1,gneJ2,gneJ3,1.0,1.5982259283204523,38.59016393442623,46.0,-7.409836065573771,1
2777.0,-gneE1,gneJ3,gneJ2,0.747555727919338,1.5856183351608801,40.83870967741935,45.0,-4.161290322580648,2
2799.0,gneE1,gneJ2,gneJ3,1.0,1.6156734675311728,38.67741935483871,44.0,-5.322580645161288,1
2821.0,-gneE1,gneJ3,gneJ2,0.749811170794691,1.5976054529813628,40.888888888888886,44.0,-3.1111111111111143,2
2844.0,gneE1,gneJ2,gneJ3,1.0,1.6398674581748087,38.77777777777778,45.0,-6.222222222222221,1
2866.0,-gneE1,gneJ3,gneJ2,0.755418805239701,1.6277249656855195,40.953125,45.0,-4.046875,2
2889.0,gneE1,gneJ2,gneJ3,1.0,1.6654168803773362,38.875,45.0,-6.125,1
2910.0,-gneE1,gneJ3,gneJ2,0.757915800155273,1.64128669899838,41.0,44.0,-3.0,2
2932.0,gneE1,gneJ2,gneJ3,1.0,1.6583728002758966,38.93846153846154,43.0,-4.061538461538461,1
2953.0,-gneE1,gneJ3,gneJ2,0.7557043986251053,1.6292713195198265,41.03030303030303,43.0,-1.9696969696969688,2
2975.0,gneE1,gneJ2,gneJ3,1.0,1.6478477257250317,39.0,43.0,-4.0,1
2999.0,-gneE1,gneJ3,gneJ2,0.7603931908676179,1.6548363713154557,41.1044776119403,46.0,-4.895522388059703,2
3021.0,gneE1,gneJ2,gneJ3,1.0,1.6923374183058184,39.1044776119403,46.0,-6.895522388059703,1
